iter	Passed	Remaining
404	8053	11832
405	8070	11807
406	8092	11790
407	8111	11769
408	8130	11747
409	8149	11727
410	8165	11701
411	8184	11681
412	8205	11662
413	8223	11639
414	8239	11614
415	8257	11592
416	8277	11572
417	8297	11552
418	8317	11533
419	8337	11514
420	8355	11491
421	8373	11468
422	8390	11444
423	8407	11421
424	8427	11401
425	8445	11379
426	8464	11358
427	8483	11337
428	8502	11316
429	8521	11295
430	8542	11277
431	8560	11255
432	8579	11234
433	8597	11212
434	8615	11190
435	8633	11168
436	8654	11150
437	8675	11131
438	8694	11110
439	8716	11093
440	8742	11081
441	8762	11061
442	8781	11040
443	8798	11018
444	8815	10994
445	8833	10972
446	8849	10948
447	8868	10926
448	8888	10907
449	8907	10887
450	8926	10865
451	8947	10847
452	8966	10827
453	8984	10805
454	9003	10783
455	9020	10761
456	9038	10739
457	9059	10721
458	9076	10698
459	9095	10677
460	9117	10660
461	9140	10643
462	9160	10624
463	9177	10601
464	9198	10582
465	9216	10561
466	9232	10537
467	9252	10517
468	9270	10496
469	9291	10477
470	9313	10460
471	9333	10440
472	9354	10422
473	9375	10404
474	9392	10381
475	9411	10360
476	9429	10339
477	9451	10321
478	9469	10300
479	9487	10278
480	9508	10259
481	9527	10239
482	9546	10218
483	9564	10196
484	9582	10175
485	9603	10157
486	9623	10137
487	9643	10118
488	9664	10099
489	9681	10076
490	9699	10055
491	9715	10031
492	9734	10010
493	9753	9990
494	9770	9968
495	9790	9948
496	9809	9928
497	9828	9907
498	9847	9886
499	9861	9861
500	9879	9840
501	9899	9820
502	9917	9798
503	9938	9781
504	9958	9761
505	9974	9738
506	9991	9715
507	10011	9696
508	10031	9676
509	10049	9655
510	10071	9638
511	10091	9618
512	10107	9595
513	10128	9576
514	10148	9557
515	10176	9544
516	10194	9524
517	10216	9506
518	10234	9484
519	10251	9463
520	10271	9443
521	10290	9423
522	10310	9403
523	10330	9383
524	10349	9363
525	10366	9341
526	10387	9322
527	10403	9300
528	10424	9281
529	10446	9264
530	10466	9244
531	10486	9225
532	10505	9204
533	10523	9183
534	10541	9162
535	10561	9142
536	10578	9120
537	10597	9100
538	10618	9081
539	10638	9062
540	10655	9040
541	10675	9020
542	10695	9001
543	10715	8982
544	10736	8963
545	10756	8944
546	10776	8924
547	10795	8904
548	10813	8883
549	10834	8864
550	10855	8845
551	10876	8827
552	10897	8809
553	10916	8788
554	10936	8768
555	10956	8749
556	10976	8730
557	10996	8710
558	11018	8692
559	11033	8669
560	11053	8649
561	11073	8630
562	11092	8610
563	11111	8589
564	11127	8567
565	11148	8548
566	11169	8529
567	11188	8509
568	11205	8487
569	11222	8466
570	11239	8444
571	11256	8422
572	11272	8400
573	11290	8379
574	11309	8359
575	11327	8338
576	11347	8318
577	11368	8300
578	11389	8281
579	11406	8260
580	11428	8241
581	11449	8223
582	11469	8203
583	11488	8183
584	11508	8163
585	11526	8143
586	11543	8121
587	11559	8099
588	11579	8080
589	11597	8059
590	11616	8039
591	11635	8018
592	11655	7999
593	11675	7980
594	11695	7960
595	11714	7940
596	11734	7920
597	11752	7900
598	11771	7880
599	11792	7861
600	11812	7842
601	11833	7823
602	11852	7803
603	11870	7782
604	11890	7763
605	11913	7745
606	11932	7725
607	11951	7705
608	11967	7683
609	11986	7663
610	12005	7643
611	12025	7624
612	12043	7603
613	12059	7581
614	12077	7560
615	12097	7541
616	12114	7520
617	12134	7500
618	12154	7481
619	12175	7462
620	12195	7442
621	12215	7423
622	12234	7403
